date_time,Belize_maxtempC,Belize_mintempC,Belize_totalSnow_cm,Belize_sunHour,Belize_uvIndex,Belize_moon_illumination,Belize_moonrise,Belize_moonset,Belize_sunrise,Belize_sunset,Belize_DewPointC,Belize_FeelsLikeC,Belize_HeatIndexC,Belize_WindChillC,Belize_WindGustKmph,Belize_cloudcover,Belize_humidity,Belize_precipMM,Belize_pressure,Belize_tempC,Belize_visibility,Belize_winddirDegree,Belize_windspeedKmph,Belize_location
2020-01-29,32,19,0.0,7.2,6,26,09:43 AM,09:54 PM,06:27 AM,05:49 PM,20,27,27,25,7,62,81,0.9,1012,32,5,113,4,Belize
2020-01-30,29,20,0.0,7.2,6,33,10:17 AM,10:41 PM,06:27 AM,05:50 PM,21,26,26,24,7,77,84,0.9,1012,29,6,106,5,Belize
2020-01-31,32,21,0.0,5.7,6,37,10:52 AM,11:29 PM,06:27 AM,05:50 PM,22,28,28,25,7,79,86,6.4,1012,32,6,100,5,Belize
2020-02-01,30,21,0.0,5.7,6,49,11:28 AM,No moonset,06:27 AM,05:51 PM,21,28,28,25,8,82,86,9.2,1016,30,5,283,5,Belize
2020-02-02,26,17,0.0,8.7,5,57,12:06 PM,12:17 AM,06:26 AM,05:51 PM,16,22,22,21,9,43,80,3.9,1022,26,8,228,6,Belize
2020-02-03,26,16,0.0,5.7,5,64,12:48 PM,01:09 AM,06:26 AM,05:52 PM,17,22,22,21,7,55,80,0.0,1017,26,8,148,5,Belize
2020-02-04,30,19,0.0,4.2,6,72,01:35 PM,02:03 AM,06:26 AM,05:52 PM,21,25,25,24,8,90,85,0.7,1014,30,6,124,5,Belize
2020-02-05,33,21,0.0,8.7,6,79,02:27 PM,02:59 AM,06:26 AM,05:53 PM,21,29,29,27,10,42,80,0.0,1010,33,5,112,6,Belize
2020-02-06,36,20,0.0,8.7,7,87,03:25 PM,03:58 AM,06:25 AM,05:53 PM,20,30,30,28,7,34,75,0.0,1007,36,7,109,4,Belize
2020-02-07,26,18,0.0,4.2,5,95,04:26 PM,04:56 AM,06:25 AM,05:54 PM,20,25,25,23,7,79,83,0.5,1014,26,9,125,5,Belize
2020-02-08,31,21,0.0,4.2,6,100,05:31 PM,05:54 AM,06:25 AM,05:54 PM,20,27,27,25,8,88,82,0.6,1016,31,6,144,5,Belize
2020-02-09,30,21,0.0,5.7,6,100,06:35 PM,06:48 AM,06:24 AM,05:54 PM,21,26,26,25,10,75,85,2.0,1016,30,9,103,7,Belize
2020-02-10,30,21,0.0,5.7,6,83,07:38 PM,07:38 AM,06:24 AM,05:55 PM,21,26,26,24,12,62,88,1.5,1015,30,8,101,7,Belize
2020-02-11,30,21,0.0,7.2,6,75,08:39 PM,08:25 AM,06:23 AM,05:55 PM,21,27,27,25,13,55,80,0.2,1013,30,6,99,9,Belize
2020-02-12,31,21,0.0,8.7,6,68,09:39 PM,09:11 AM,06:23 AM,05:56 PM,20,28,28,26,12,42,79,0.1,1011,31,5,103,8,Belize
2020-02-13,32,21,0.0,8.7,6,60,10:38 PM,09:55 AM,06:22 AM,05:56 PM,21,29,29,26,10,58,79,0.0,1012,32,5,95,7,Belize
2020-02-14,31,20,0.0,5.7,6,53,11:37 PM,10:38 AM,06:22 AM,05:57 PM,20,27,27,25,8,61,79,0.9,1016,31,6,126,5,Belize
2020-02-15,30,21,0.0,5.7,6,45,No moonrise,11:24 AM,06:22 AM,05:57 PM,20,26,26,24,7,69,84,7.8,1017,30,7,166,5,Belize
2020-02-16,30,19,0.0,7.2,6,38,12:35 AM,12:11 PM,06:21 AM,05:57 PM,20,25,25,24,8,74,82,0.3,1015,30,5,134,5,Belize
2020-02-17,30,19,0.0,8.7,6,30,01:33 AM,01:01 PM,06:21 AM,05:58 PM,20,25,25,24,9,71,82,0.9,1013,30,6,108,6,Belize
2020-02-18,30,21,0.0,5.7,6,22,02:29 AM,01:53 PM,06:20 AM,05:58 PM,21,26,26,24,10,73,86,3.2,1013,30,9,94,7,Belize
2020-02-19,32,22,0.0,8.7,6,15,03:24 AM,02:45 PM,06:19 AM,05:58 PM,21,28,28,26,12,59,81,0.3,1015,32,5,96,8,Belize
2020-02-20,30,22,0.0,5.8,6,7,04:15 AM,03:39 PM,06:19 AM,05:59 PM,21,28,28,26,8,64,84,2.5,1016,30,9,91,6,Belize
